"autor","l0","l1","l2","gender"
"Risa Kitajima","Asian","GreaterEastAsian","Japanese","F"
"Rishan Chen","Asian","GreaterEastAsian","EastAsian","F"
"Rishita Anubhai","Asian","IndianSubContinent","\N","F"
"Rita Chattopadhyay","Asian","IndianSubContinent","\N","F"
"Rita Cucchiara","GreaterEuropean","WestEuropean","Italian","F"
"Rita Francese","GreaterEuropean","WestEuropean","Italian","F"
"Rita Gavriloaie","GreaterEuropean","WestEuropean","French","F"
"Rita H. Wouhaybi","GreaterAfrican","Africans","\N","F"
"Rita Hartel","GreaterEuropean","WestEuropean","Nordic","F"
"Rita Maldonado Branco","GreaterEuropean","WestEuropean","Hispanic","F"
"Rita Marinelli","GreaterEuropean","WestEuropean","Italian","F"
"Rita Orji","GreaterAfrican","Africans","\N","F"
"Rita Parada","GreaterEuropean","WestEuropean","Hispanic","F"
"Rita Rossi","GreaterEuropean","WestEuropean","Italian","F"
"Rita Sadhvani","Asian","IndianSubContinent","\N","F"
"Rita Sharma","Asian","IndianSubContinent","\N","F"
"Rita Shewbridge","GreaterEuropean","British","\N","F"
"Rita Steinmetz","GreaterEuropean","EastEuropean","\N","F"
"Rita Z. Goldstein","GreaterEuropean","Jewish","\N","F"
"Ritika Jain","Asian","IndianSubContinent","\N","F"
"Ritu Arora","Asian","IndianSubContinent","\N","F"
"Ritu Khare","Asian","IndianSubContinent","\N","F"
"Rivka Ladin","GreaterAfrican","Muslim","\N","F"
"Rivka Levitan","GreaterEuropean","Jewish","\N","F"
"Riza Theresa Batista-Navarro","GreaterEuropean","WestEuropean","Hispanic","F"
"Rizza Camus Caminero","GreaterEuropean","British","\N","F"
"Roberta Arcoverde","GreaterEuropean","WestEuropean","French","F"
"Roberta Cabral Mota","GreaterEuropean","WestEuropean","Hispanic","F"
"Roberta Catizone","GreaterEuropean","WestEuropean","Italian","F"
"Roberta Cerqueira","GreaterEuropean","WestEuropean","Hispanic","F"
"Roberta Cochrane","GreaterEuropean","British","\N","F"
"Roberta Coelho","GreaterEuropean","WestEuropean","Hispanic","F"
"Roberta Coeli Neves Moreira","GreaterEuropean","WestEuropean","Hispanic","F"
"Roberta L. Klatzky","GreaterEuropean","Jewish","\N","F"
"Roberta M. Melvin","GreaterEuropean","Jewish","\N","F"
"Robin A. Gandhi","Asian","IndianSubContinent","\N","F"
"Robin A. Moser","GreaterEuropean","Jewish","\N","F"
"Robin Abraham","GreaterAfrican","Muslim","\N","F"
"Robin Adams","GreaterEuropean","British","\N","F"
"Robin Aly","GreaterEuropean","British","\N","F"
"Robin Arcangioli","GreaterEuropean","WestEuropean","Hispanic","F"
"Robin Beitra","GreaterEuropean","British","\N","F"
"Robin Berjon","GreaterEuropean","British","\N","F"
"Robin Boswell","GreaterEuropean","British","\N","F"
"Robin Braun","GreaterEuropean","WestEuropean","Germanic","F"
"Robin Brewer","GreaterEuropean","British","\N","F"
"Robin Burke","GreaterEuropean","British","\N","F"
"Robin C. Laney","GreaterEuropean","British","\N","F"
"Robin Cohen","GreaterEuropean","Jewish","\N","F"
"Robin Cooper","GreaterEuropean","British","\N","F"
"Robin D. Burke","GreaterEuropean","British","\N","F"
"Robin D. Dowell","GreaterEuropean","British","\N","F"
"Robin D. Morris","GreaterEuropean","British","\N","F"
"Robin David","GreaterEuropean","Jewish","\N","F"
"Robin Despouys","GreaterEuropean","WestEuropean","French","F"
"Robin Devooght","GreaterEuropean","British","\N","F"
"Robin Dhamankar","Asian","IndianSubContinent","\N","F"
"Robin Drogemuller","GreaterEuropean","British","\N","F"
"Robin Dunbar","GreaterEuropean","British","\N","F"
"Robin Dupuis","GreaterEuropean","WestEuropean","French","F"
"Robin Glinton","GreaterEuropean","British","\N","F"
